sample,pop,super_pop,gender,pop_filter
HG00096,GBR,EUR,male,GBR
HG00097,GBR,EUR,female,GBR
HG00099,GBR,EUR,female,GBR
HG00100,GBR,EUR,female,GBR
HG00101,GBR,EUR,male,GBR
HG00102,GBR,EUR,female,GBR
HG00103,GBR,EUR,male,GBR
HG00105,GBR,EUR,male,GBR
HG00106,GBR,EUR,female,GBR
HG00107,GBR,EUR,male,GBR
HG00108,GBR,EUR,male,GBR
HG00109,GBR,EUR,male,GBR
HG00110,GBR,EUR,female,GBR
HG00111,GBR,EUR,female,GBR
HG00112,GBR,EUR,male,GBR
HG00113,GBR,EUR,male,GBR
HG00114,GBR,EUR,male,GBR
HG00115,GBR,EUR,male,GBR
HG00116,GBR,EUR,male,GBR
HG00117,GBR,EUR,male,GBR
HG00118,GBR,EUR,female,GBR
HG00119,GBR,EUR,male,GBR
HG00120,GBR,EUR,female,GBR
HG00121,GBR,EUR,female,GBR
HG00122,GBR,EUR,female,GBR
HG00123,GBR,EUR,female,GBR
HG00125,GBR,EUR,female,GBR
HG00126,GBR,EUR,male,GBR
HG00127,GBR,EUR,female,GBR
HG00128,GBR,EUR,female,GBR
HG00129,GBR,EUR,male,GBR
HG00130,GBR,EUR,female,GBR
HG00131,GBR,EUR,male,GBR
HG00132,GBR,EUR,female,GBR
HG00133,GBR,EUR,female,GBR
HG00136,GBR,EUR,male,GBR
HG00137,GBR,EUR,female,GBR
HG00138,GBR,EUR,male,GBR
HG00139,GBR,EUR,male,GBR
HG00140,GBR,EUR,male,GBR
HG00141,GBR,EUR,male,GBR
HG00142,GBR,EUR,male,GBR
HG00143,GBR,EUR,male,GBR
HG00145,GBR,EUR,male,GBR
HG00146,GBR,EUR,female,GBR
HG00148,GBR,EUR,male,GBR
HG00149,GBR,EUR,male,GBR
HG00150,GBR,EUR,female,GBR
HG00151,GBR,EUR,male,GBR
HG00154,GBR,EUR,female,GBR
HG00155,GBR,EUR,male,GBR
HG00157,GBR,EUR,male,GBR
HG00158,GBR,EUR,female,GBR
HG00159,GBR,EUR,male,GBR
HG00160,GBR,EUR,male,GBR
HG00171,FIN,EUR,female,FIN
HG00173,FIN,EUR,female,FIN
HG00174,FIN,EUR,female,FIN
HG00176,FIN,EUR,female,FIN
HG00177,FIN,EUR,female,FIN
HG00178,FIN,EUR,female,FIN
HG00179,FIN,EUR,female,FIN
HG00180,FIN,EUR,female,FIN
HG00181,FIN,EUR,male,FIN
HG00182,FIN,EUR,male,FIN
HG00183,FIN,EUR,male,FIN
HG00185,FIN,EUR,male,FIN
HG00186,FIN,EUR,male,FIN
HG00187,FIN,EUR,male,FIN
HG00188,FIN,EUR,male,FIN
HG00189,FIN,EUR,male,FIN
HG00190,FIN,EUR,male,FIN
HG00231,GBR,EUR,female,GBR
HG00232,GBR,EUR,female,GBR
HG00233,GBR,EUR,female,GBR
HG00234,GBR,EUR,male,GBR
HG00235,GBR,EUR,female,GBR
HG00236,GBR,EUR,female,GBR
HG00237,GBR,EUR,female,GBR
HG00238,GBR,EUR,female,GBR
HG00239,GBR,EUR,female,GBR
HG00240,GBR,EUR,female,GBR
HG00242,GBR,EUR,male,GBR
HG00243,GBR,EUR,male,GBR
HG00244,GBR,EUR,male,GBR
HG00245,GBR,EUR,female,GBR
HG00246,GBR,EUR,male,GBR
HG00250,GBR,EUR,female,GBR
HG00251,GBR,EUR,male,GBR
HG00252,GBR,EUR,male,GBR
HG00253,GBR,EUR,female,GBR
HG00254,GBR,EUR,female,GBR
HG00255,GBR,EUR,female,GBR
HG00256,GBR,EUR,male,GBR
HG00257,GBR,EUR,female,GBR
HG00258,GBR,EUR,female,GBR
HG00259,GBR,EUR,female,GBR
HG00260,GBR,EUR,male,GBR
HG00261,GBR,EUR,female,GBR
HG00262,GBR,EUR,female,GBR
HG00263,GBR,EUR,female,GBR
HG00264,GBR,EUR,male,GBR
HG00265,GBR,EUR,male,GBR
HG00266,FIN,EUR,female,FIN
HG00267,FIN,EUR,male,FIN
HG00268,FIN,EUR,female,FIN
HG00269,FIN,EUR,female,FIN
HG00271,FIN,EUR,male,FIN
HG00272,FIN,EUR,female,FIN
HG00273,FIN,EUR,male,FIN
HG00274,FIN,EUR,female,FIN
HG00275,FIN,EUR,female,FIN
HG00276,FIN,EUR,female,FIN
HG00277,FIN,EUR,male,FIN
HG00278,FIN,EUR,male,FIN
HG00280,FIN,EUR,male,FIN
HG00281,FIN,EUR,female,FIN
HG00282,FIN,EUR,female,FIN
HG00284,FIN,EUR,male,FIN
HG00285,FIN,EUR,female,FIN
HG00288,FIN,EUR,female,FIN
HG00290,FIN,EUR,male,FIN
HG00304,FIN,EUR,female,FIN
HG00306,FIN,EUR,female,FIN
HG00308,FIN,EUR,male,FIN
HG00309,FIN,EUR,female,FIN
HG00310,FIN,EUR,male,FIN
HG00311,FIN,EUR,male,FIN
HG00313,FIN,EUR,female,FIN
HG00315,FIN,EUR,female,FIN
HG00318,FIN,EUR,female,FIN
HG00319,FIN,EUR,female,FIN
HG00320,FIN,EUR,female,FIN
HG00321,FIN,EUR,male,FIN
HG00323,FIN,EUR,female,FIN
HG00324,FIN,EUR,female,FIN
HG00325,FIN,EUR,male,FIN
HG00326,FIN,EUR,female,FIN
HG00327,FIN,EUR,female,FIN
HG00328,FIN,EUR,female,FIN
HG00329,FIN,EUR,male,FIN
HG00330,FIN,EUR,female,FIN
HG00331,FIN,EUR,female,FIN
HG00332,FIN,EUR,female,FIN
HG00334,FIN,EUR,female,FIN
HG00335,FIN,EUR,male,FIN
HG00336,FIN,EUR,male,FIN
HG00337,FIN,EUR,female,FIN
HG00338,FIN,EUR,male,FIN
HG00339,FIN,EUR,female,FIN
HG00341,FIN,EUR,male,FIN
HG00342,FIN,EUR,male,FIN
HG00343,FIN,EUR,female,FIN
HG00344,FIN,EUR,female,FIN
HG00345,FIN,EUR,male,FIN
HG00346,FIN,EUR,female,FIN
HG00349,FIN,EUR,female,FIN
HG00350,FIN,EUR,female,FIN
HG00351,FIN,EUR,male,FIN
HG00353,FIN,EUR,female,FIN
HG00355,FIN,EUR,female,FIN
HG00356,FIN,EUR,female,FIN
HG00357,FIN,EUR,female,FIN
HG00358,FIN,EUR,male,FIN
HG00360,FIN,EUR,male,FIN
HG00361,FIN,EUR,female,FIN
HG00362,FIN,EUR,female,FIN
HG00364,FIN,EUR,female,FIN
HG00365,FIN,EUR,female,FIN
HG00366,FIN,EUR,male,FIN
HG00367,FIN,EUR,female,FIN
HG00368,FIN,EUR,female,FIN
