Country,Sex,mean_BMI,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Girls,0.01061893204881544,BEB,BEB,female,0.00375017680681818,0.0023925040926458,44,-0.672654441368066,SAS
Barbados,Girls,0.17272655264534154,ACB,ACB,female,0.00514428975510204,0.00240759649314643,49,0.69089207588107,AFR
China,Girls,0.04003490647543163,CHN,CHN,female,0.00237115292578616,0.00231869972317519,159,-2.02144272462683,EAS
Colombia,Girls,0.05323884490670144,CLM,CLM,female,0.00437116103921569,0.00237554247666595,51,-0.0652855130509048,AMR
Finland,Girls,0.06534352456368778,FIN,FIN,female,0.0051182358852459,0.00281234497086162,61,0.665409446552555,EUR
Gambia,Girls,0.02624961519564208,GWD,GWD,female,0.00523652606206897,0.00223812488274879,58,0.781106068429875,AFR
India,Girls,0.01578897402883151,IND,IND,female,0.00358369251555556,0.00246380260551696,90,-0.835488504280466,SAS
Italy,Girls,0.09064056848523996,TSI,TSI,female,0.00502999756111111,0.00246133815049638,54,0.579105779615093,EUR
Japan,Girls,0.02241178163428656,JPT,JPT,female,0.00271015479166667,0.00258921754174633,48,-1.68987359736828,EAS
Kenya,Girls,0.0219147660938106,LWK,LWK,female,0.00443419047090909,0.00228155364978076,55,-0.0036380244628895,AFR
Mexico,Girls,0.12611113032761,MXL,MXL,female,0.00427382979375,0.00228869457467634,32,-0.160482735727611,AMR
Nigeria,Girls,0.0228278639906809,YEN,YEN,female,0.00563907915686274,0.00210830339022497,102,1.17483304090338,AFR
Pakistan,Girls,0.02568394489392365,PJL,PJL,female,0.00459186295833333,0.00300400468334823,48,0.150577436599996,SAS
Peru,Girls,0.069500703426009,PEL,PEL,female,0.00402142563636364,0.00272738618105485,44,-0.407352840597552,AMR
Puerto Rico,Girls,0.17324944406641302,PUR,PUR,female,0.00507880932,0.00282722100430812,50,0.626847323021371,AMR
Sierra Leone,Girls,0.03296387716908174,MSL,MSL,female,0.00471258827906977,0.00203522195953162,43,0.268655810978908,AFR
Spain,Girls,0.08818947501726525,IBS,IBS,female,0.00437908971698113,0.00303335222621711,53,-0.0575306744155036,EUR
Sri Lanka,Girls,0.04364406330898868,STU,STU,female,0.0033155545106383,0.00272118080259748,47,-1.09774748637882,SAS
United Kingdom,Girls,0.10127248102097142,GBR,GBR,female,0.00535808173333333,0.00262079584335455,45,0.899996587600823,EUR
United States of America,Girls,0.1926323462343309,CEU,CEU,female,0.005129276144,0.00274465555144318,50,0.676207643637096,EUR
Viet Nam,Girls,0.01555437903552328,KHV,KHV,female,0.00247138168301887,0.00220561250467993,53,-1.92341151917744,EAS
