Country,Sex,mean_BMI,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Boys,0.01008330198499343,BEB,BEB,male,0.0030375369047619,0.00202685198173918,42,-1.36966945560904,SAS
Barbados,Boys,0.1806285450300176,ACB,ACB,male,0.0058568150212766,0.00256671940451362,47,1.38779496767353,AFR
China,Boys,0.096391782931279,CHN,CHN,male,0.00227543196478873,0.00204161653650247,142,-2.11506496890514,EAS
Colombia,Boys,0.06254494915993952,CLM,CLM,male,0.00422623185348837,0.00289883893925832,43,-0.207037073919411,AMR
Finland,Boys,0.0918789274422058,FIN,FIN,male,0.00495226421052632,0.00219221778462721,38,0.503076760879932,EUR
Gambia,Boys,0.02527703717417097,GWD,GWD,male,0.00537492878727273,0.00308143866108558,55,0.916474263784268,AFR
India,Boys,0.02298127011788851,IND,IND,male,0.00373800919913043,0.0027422902947306,115,-0.684555269852806,SAS
Italy,Boys,0.1422951548823521,TSI,TSI,male,0.00529073775471698,0.00324281258895566,53,0.834129150092933,EUR
Japan,Boys,0.0487287238105973,JPT,JPT,male,0.00312327216428571,0.00225236580021031,56,-1.2858139726849,EAS
Kenya,Boys,0.02044273587243273,LWK,LWK,male,0.00536300443181818,0.00219747467926551,44,0.904811354139464,AFR
Mexico,Boys,0.16484390453124104,MXL,MXL,male,0.0049022266875,0.00248064318412753,32,0.454136328658643,AMR
Nigeria,Boys,0.019093966605205442,YEN,YEN,male,0.00558367085714286,0.00238005567980509,105,1.12063958821165,AFR
Pakistan,Boys,0.03185168309331662,PJL,PJL,male,0.00336399029166667,0.00254388063484123,48,-1.05037367738237,SAS
Peru,Boys,0.095486509588305,PEL,PEL,male,0.00429343417073171,0.00230566080314733,41,-0.141308191807656,AMR
Puerto Rico,Boys,0.15165273018626935,PUR,PUR,male,0.00492711705555556,0.0028401484184592,54,0.47848096638472,AMR
Sierra Leone,Boys,0.01232121703591544,MSL,MSL,male,0.00517837547619048,0.00216363568675979,42,0.724230455196229,AFR
Spain,Boys,0.12823719577935194,IBS,IBS,male,0.00484918685185185,0.00307038083962891,54,0.402259410606539,EUR
Sri Lanka,Boys,0.03431590395000775,STU,STU,male,0.00316255750909091,0.00264603412927813,55,-1.24738997328514,SAS
United Kingdom,Boys,0.10921576602856307,GBR,GBR,male,0.00566217555,0.00279372517829391,46,1.19742303726063,EUR
United States of America,Boys,0.22061317762539775,CEU,CEU,male,0.00573617918367347,0.00274603315518045,49,1.26980411447783,EUR
Viet Nam,Boys,0.04417760217013455,KHV,KHV,male,0.00296430765,0.00242985094196287,46,-1.44129313245263,EAS
