Country,Sex,mean_BMI,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Boys,0.01008330198499343,BEB,BEB,male,0.00175661402380952,0.00121765266653521,42,-1.84691819763486,SAS
Barbados,Boys,0.1806285450300176,ACB,ACB,male,0.00272431893617021,8.5295024782588e-4,47,0.812278178167397,AFR
China,Boys,0.096391782931279,CHN,CHN,male,0.00262121371830986,9.3408396263732e-4,142,0.528951083142418,EAS
Colombia,Boys,0.06254494915993952,CLM,CLM,male,0.00240611990232558,0.00105875232842228,43,-0.0621141151601789,AMR
Finland,Boys,0.0918789274422058,FIN,FIN,male,0.00229819163157895,0.00106237219932423,38,-0.358694676806724,EUR
Gambia,Boys,0.02527703717417097,GWD,GWD,male,0.00276032127272727,7.5776499562383e-4,55,0.911210488699332,AFR
India,Boys,0.02298127011788851,IND,IND,male,0.00206258615913043,0.00110626831115927,115,-1.00612470475386,SAS
Italy,Boys,0.1422951548823521,TSI,TSI,male,0.00206037582075472,0.00111946454423662,53,-1.01219858504829,EUR
Japan,Boys,0.0487287238105973,JPT,JPT,male,0.00266827823214286,9.6504549005884e-4,56,0.658281608403776,EAS
Kenya,Boys,0.02044273587243273,LWK,LWK,male,0.00249692006818182,7.6345732470474e-4,44,0.187399418235166,AFR
Mexico,Boys,0.16484390453124104,MXL,MXL,male,0.0027394062625,0.00141535575961088,32,0.853737266557104,AMR
Nigeria,Boys,0.019093966605205442,YEN,YEN,male,0.00268318051428571,7.4338528335896e-4,105,0.699232206214421,AFR
Pakistan,Boys,0.03185168309331662,PJL,PJL,male,0.00210411807083333,0.00114656069231993,48,-0.891997445844874,SAS
Peru,Boys,0.095486509588305,PEL,PEL,male,0.00314413682926829,9.1219093089505e-4,41,1.96591314019314,AMR
Puerto Rico,Boys,0.15165273018626935,PUR,PUR,male,0.00218814821111111,0.00104106203052385,54,-0.6610875459047,AMR
Sierra Leone,Boys,0.01232121703591544,MSL,MSL,male,0.00282028942857143,8.696159670489e-4,42,1.07599946584249,AFR
Spain,Boys,0.12823719577935194,IBS,IBS,male,0.00228711244444444,0.0010090337031384599,54,-0.389139633630426,EUR
Sri Lanka,Boys,0.03431590395000775,STU,STU,male,0.00192593601818182,0.00110639808374343,55,-1.38163128214322,SAS
United Kingdom,Boys,0.10921576602856307,GBR,GBR,male,0.00202347979782609,0.00115643646780502,46,-1.11358669334463,EUR
United States of America,Boys,0.22061317762539775,CEU,CEU,male,0.00239462140816327,0.00102989812394513,49,-0.0937113031180484,EUR
Viet Nam,Boys,0.04417760217013455,KHV,KHV,male,0.00271886369565217,8.5986160153405e-4,46,0.797287496990312,EAS
