Country,Sex,mean_HDL,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Women,1.14132528700492,BEB,BEB,female,0.00132314586363636,8.0383898863043e-4,44,0.465662610641687,SAS
Barbados,Women,1.05888727916168,ACB,ACB,female,0.00140493346530612,7.1646214601882e-4,49,0.69796716157608,AFR
China,Women,1.34263888900539,CHN,CHN,female,0.00150349935220126,6.3648679533938e-4,159,0.977927737814506,EAS
Colombia,Women,1.08908726836103,CLM,CLM,female,0.0010087717627451,9.0464798904185e-4,51,-0.42726654783677,AMR
Finland,Women,1.5736167925157,FIN,FIN,female,8.1164577540983e-4,0.00111427800713458,61,-0.987171264817229,EUR
Gambia,Women,1.18055593089443,GWD,GWD,female,0.00159284753448276,7.1259048106365e-4,58,1.23170690406903,AFR
India,Women,1.05608623141826,IND,IND,female,0.00144538613888889,8.9951544022239e-4,90,0.812866485909915,SAS
Italy,Women,1.54488393250771,TSI,TSI,female,7.1470701666666e-4,0.00103147895323097,54,-1.26251024478754,EUR
Japan,Women,1.74471336246689,JPT,JPT,female,0.001804502875,6.2835196613436e-4,48,1.83287991596704,EAS
Kenya,Women,1.16156482107147,LWK,LWK,female,0.00136613661818182,5.6861870840073e-4,55,0.587770946442237,AFR
Mexico,Women,1.104751909479,MXL,MXL,female,0.0012555682625,8.1065992684477e-4,32,0.273719284700989,AMR
Nigeria,Women,1.09541684087763,YEN,YEN,female,0.00141372498323529,6.7176947249259e-4,102,0.722938056710214,AFR
Pakistan,Women,1.16314083793836,PJL,PJL,female,9.3543477708333e-4,9.954256539237e-4,48,-0.635568480809791,SAS
Peru,Women,1.11571355353058,PEL,PEL,female,8.4569509704545e-4,0.00113118182128011,44,-0.890459633583424,AMR
Puerto Rico,Women,1.31991830729652,PUR,PUR,female,0.0010774405428,9.5482412912035e-4,50,-0.232223903374866,AMR
Sierra Leone,Women,1.12441799092406,MSL,MSL,female,0.00128521853488372,6.0970812191874e-4,43,0.357936122834898,AFR
Spain,Women,1.54987619765841,IBS,IBS,female,9.7869373207547e-4,9.3350732901872e-4,53,-0.512698364702015,EUR
Sri Lanka,Women,1.11498438341927,STU,STU,female,0.00138757681914894,9.987876799233e-4,47,0.648668394905395,SAS
United Kingdom,Women,1.62316613993354,GBR,GBR,female,4.3112561266666e-4,0.00114621901952237,45,-2.06797769174317,EUR
United States of America,Women,1.51496718424193,CEU,CEU,female,7.736037e-4,0.00119220665613936,50,-1.09522367208034,EUR
Viet Nam,Women,1.15434238391688,KHV,KHV,female,0.00127089446603774,6.7628675252428e-4,53,0.317250905113809,EAS
