Country,Sex,mean_HDL,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Men,1.06409714629307,BEB,BEB,male,0.00137695438904762,9.3591151027565e-4,42,0.618497087712867,SAS
Barbados,Men,0.940163853944722,ACB,ACB,male,0.00129422252340426,7.6242297929969e-4,47,0.383510506570063,AFR
China,Men,1.21740141413817,CHN,CHN,male,0.00157476715140845,6.9790674024621e-4,142,1.18035247888661,EAS
Colombia,Men,0.934933317234802,CLM,CLM,male,0.00114723818604651,8.9499082188338e-4,43,-0.0339749042645872,AMR
Finland,Men,1.2928903904427,FIN,FIN,male,4.4959301315789e-4,8.2572614974213e-4,38,-2.01552400572652,EUR
Gambia,Men,1.04663341605805,GWD,GWD,male,0.00145914076363636,6.518868662268e-4,55,0.851934289097677,AFR
India,Men,0.960899178669057,IND,IND,male,0.00116814376521739,9.0356629257631e-4,115,0.0254040368238676,SAS
Italy,Men,1.25847469635182,TSI,TSI,male,7.2141637924528e-4,0.0010313207207537,53,-1.24345337762111,EUR
Japan,Men,1.45612332983731,JPT,JPT,male,0.00176157339285714,6.8615475678282e-4,56,1.71094561458833,EAS
Kenya,Men,1.05688464077733,LWK,LWK,male,0.00149222079545455,7.5982013074119e-4,44,0.945892808231752,AFR
Mexico,Men,0.988602372821955,MXL,MXL,male,9.11052959375e-4,9.8359528196042e-4,32,-0.704821119327896,AMR
Nigeria,Men,0.980242201248061,YEN,YEN,male,0.00137636395333333,5.9186296115435e-4,105,0.616820049865289,AFR
Pakistan,Men,1.06434269577796,PJL,PJL,male,0.00126322591666667,8.265107101766e-4,48,0.295469621867999,SAS
Peru,Men,1.0184726524453,PEL,PEL,male,8.9682440926829e-4,0.00105311682412411,41,-0.745235031406313,AMR
Puerto Rico,Men,1.17438366930701,PUR,PUR,male,7.5145324074074e-4,8.7595990167158e-4,54,-1.15813849518507,AMR
Sierra Leone,Men,1.03154432191763,MSL,MSL,male,0.00167492683333333,6.3979650296019e-4,42,1.46483997401137,AFR
Spain,Men,1.23810069465478,IBS,IBS,male,8.9241556351851e-4,8.9659461682201e-4,54,-0.757757649885526,EUR
Sri Lanka,Men,1.02253478384806,STU,STU,male,0.00128954893854545,9.2176208809891e-4,55,0.370235939157494,SAS
United Kingdom,Men,1.34979779523543,GBR,GBR,male,4.1278773913043e-4,0.00133853327832788,46,-2.12006347724067,EUR
United States of America,Men,1.23878297033177,CEU,CEU,male,7.1630054387755e-4,0.00121727210917095,49,-1.25798408659768,EUR
Viet Nam,Men,1.03670837585688,KHV,KHV,male,0.00132388519565217,7.0085503113996e-4,46,0.467762564527335,EAS
