Country,Sex,mean_HDL,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Women,1.14132528700492,BEB,BEB,female,0.00141993077272727,3.692044810971e-4,44,0.790567064441489,SAS
Barbados,Women,1.05888727916168,ACB,ACB,female,0.00138771491836735,3.1041831867724e-4,49,0.442618727147858,AFR
China,Women,1.34263888900539,CHN,CHN,female,0.0013283782327044,2.8915231126151e-4,159,-0.198248992400148,EAS
Colombia,Women,1.08908726836103,CLM,CLM,female,0.00130802198039216,3.8953277210917e-4,51,-0.418107328809382,AMR
Finland,Women,1.5736167925157,FIN,FIN,female,0.00135462995081967,5.011056571404e-4,61,0.0852835058306453,EUR
Gambia,Women,1.18055593089443,GWD,GWD,female,0.00143550637931034,3.1753252667994e-4,58,0.958791887920364,AFR
India,Women,1.05608623141826,IND,IND,female,0.00152441302222222,3.9106517402053e-4,90,1.91903085069725,SAS
Italy,Women,1.54488393250771,TSI,TSI,female,0.00129046105555556,4.7731006589986e-4,54,-0.607774643851464,EUR
Japan,Women,1.74471336246689,JPT,JPT,female,0.0014235005625,0.00026330502844458997,48,0.829122689942867,EAS
Kenya,Women,1.16156482107147,LWK,LWK,female,0.00142620494545455,2.9950236753997e-4,55,0.858331462180485,AFR
Mexico,Women,1.104751909479,MXL,MXL,female,0.00137411715625,4.2385215473765e-4,32,0.295755674354491,AMR
Nigeria,Women,1.09541684087763,YEN,YEN,female,0.00135330796078431,2.64630645388e-4,102,0.0710053113248396,AFR
Pakistan,Women,1.16314083793836,PJL,PJL,female,0.00131580739583333,4.394294647585e-4,48,-0.334020707122043,SAS
Peru,Women,1.11571355353058,PEL,PEL,female,0.00115170697727273,4.9562014491438e-4,44,-2.10639238317413,AMR
Puerto Rico,Women,1.31991830729652,PUR,PUR,female,0.00137789954,3.9872243095351e-4,50,0.336607427721493,AMR
Sierra Leone,Women,1.12441799092406,MSL,MSL,female,0.00139179355813953,2.8996429060048e-4,43,0.486670202899431,AFR
Spain,Women,1.54987619765841,IBS,IBS,female,0.00135928573207547,4.4435685004311e-4,53,0.135568416131625,EUR
Sri Lanka,Women,1.11498438341927,STU,STU,female,0.00146605825531915,4.1802069090227e-4,47,1.28876837526406,SAS
United Kingdom,Women,1.62316613993354,GBR,GBR,female,0.00120925782222222,5.280640068524e-4,45,-1.48481269181168,EUR
United States of America,Women,1.51496718424193,CEU,CEU,female,0.001303688452,5.1538802168091e-4,50,-0.464911737030862,EUR
Viet Nam,Women,1.15434238391688,KHV,KHV,female,0.00125889654716981,2.7570683573195e-4,53,-0.948688098686684,EAS
