Country,Sex,mean_HDL,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Men,1.06409714629307,BEB,BEB,male,0.00145085564285714,4.7639911343642e-4,42,1.12457208639412,SAS
Barbados,Men,0.940163853944722,ACB,ACB,male,0.00133604872340426,2.933725609252e-4,47,-0.115403618956939,AFR
China,Men,1.21740141413817,CHN,CHN,male,0.00137248077464789,3.0383172437245e-4,142,0.278081883950807,EAS
Colombia,Men,0.934933317234802,CLM,CLM,male,0.001392499,3.9689307804891e-4,43,0.494289349660644,AMR
Finland,Men,1.2928903904427,FIN,FIN,male,0.00119284086842105,4.6014780169056e-4,38,-1.66212451209508,EUR
Gambia,Men,1.04663341605805,GWD,GWD,male,0.00140462301818182,2.9886088712882e-4,55,0.625235185228146,AFR
India,Men,0.960899178669057,IND,IND,male,0.00143342053391304,4.5331405307342e-4,115,0.936263649813309,SAS
Italy,Men,1.25847469635182,TSI,TSI,male,0.00125719860377358,4.4388995057911e-4,53,-0.967026789162965,EUR
Japan,Men,1.45612332983731,JPT,JPT,male,0.00138313394642857,3.5554287004203e-4,56,0.393141797202817,EAS
Kenya,Men,1.05688464077733,LWK,LWK,male,0.00144094990909091,2.8739953820703e-4,44,1.017584900671,AFR
Mexico,Men,0.988602372821955,MXL,MXL,male,0.00113458503125,3.9961449796397e-4,32,-2.29131849387974,AMR
Nigeria,Men,0.980242201248061,YEN,YEN,male,0.0013426252952381,2.8361763567175e-4,105,-0.0443731502594142,AFR
Pakistan,Men,1.06434269577796,PJL,PJL,male,0.00149699622916667,3.7226115795913e-4,48,1.62291492432682,SAS
Peru,Men,1.0184726524453,PEL,PEL,male,0.00119958163414634,4.9521721060372e-4,41,-1.58932066216467,AMR
Puerto Rico,Men,1.17438366930701,PUR,PUR,male,0.00127416294444444,4.3792194683499e-4,54,-0.783802899963527,AMR
Sierra Leone,Men,1.03154432191763,MSL,MSL,male,0.0014728944047619,2.8039826654321e-4,42,1.3626024200025,AFR
Spain,Men,1.23810069465478,IBS,IBS,male,0.00133951318518519,3.7688166956106e-4,54,-0.0779855917078666,EUR
Sri Lanka,Men,1.02253478384806,STU,STU,male,0.00141006965818182,4.2346993779514e-4,55,0.684061790000558,SAS
United Kingdom,Men,1.34979779523543,GBR,GBR,male,0.00121188865869565,5.3809244148117e-4,46,-1.45639826063148,EUR
United States of America,Men,1.23878297033177,CEU,CEU,male,0.00122201115918367,5.2692549171332e-4,49,-1.34706987918579,EUR
Viet Nam,Men,1.03670837585688,KHV,KHV,male,0.00128929580434783,3.0758005821954e-4,46,-0.620359975773102,EAS
