Country,Sex,mean_sbp,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Women,119.691511587616,BEB,BEB,female,-0.0274394529545455,0.0151795687356857,44,-1.14053514671533,SAS
Barbados,Women,124.706998899791,ACB,ACB,female,-0.019912725755102,0.0158935767460561,49,0.414342261924274,AFR
China,Women,121.085652135685,CHN,CHN,female,-0.0249995555220126,0.010723968490551,159,-0.636499156474623,EAS
Colombia,Women,119.211229833654,CLM,CLM,female,-0.0211115484117647,0.0146402017470824,51,0.166688505328986,AMR
Finland,Women,119.741873875939,FIN,FIN,female,-0.0310651659016393,0.016035838003686,61,-1.88953786758787,EUR
Gambia,Women,130.978679240038,GWD,GWD,female,-0.0155661733275862,0.0133257315830052,58,1.31225658722516,AFR
India,Women,124.43753364547,IND,IND,female,-0.0288018566666667,0.0151072812348543,90,-1.42198161040285,SAS
Italy,Women,120.353051429077,TSI,TSI,female,-0.0245687214814815,0.0139754593434375,54,-0.547497110998036,EUR
Japan,Women,117.202293523502,JPT,JPT,female,-0.026338824375,0.012706018138632,48,-0.913166402201134,EAS
Kenya,Women,128.044040550675,LWK,LWK,female,-0.0172813256363636,0.0130961720231678,55,0.957939032379897,AFR
Mexico,Women,122.8451866993,MXL,MXL,female,-0.02282222375,0.0126282908370881,32,-0.186704193311091,AMR
Nigeria,Women,122.768200936671,YEN,YEN,female,-0.0136447518039216,0.0125981450334701,102,1.70918540375526,AFR
Pakistan,Women,126.819892498987,PJL,PJL,female,-0.0275531135416667,0.0130921684825711,48,-1.16401524297557,SAS
Peru,Women,115.81034401035,PEL,PEL,female,-0.0126904861363636,0.0151344097329901,44,1.90631837921848,AMR
Puerto Rico,Women,118.090026841374,PUR,PUR,female,-0.0230515424,0.0146488794189733,50,-0.234077025993415,AMR
Sierra Leone,Women,130.483874226597,MSL,MSL,female,-0.0163751898372093,0.0144878272290595,43,1.14512930059752,AFR
Spain,Women,117.410851741656,IBS,IBS,female,-0.0219582915660377,0.0155758279456011,53,-0.00823238214475321,EUR
Sri Lanka,Women,123.374641268819,STU,STU,female,-0.0279367480851064,0.018989372130423,47,-1.24326677806672,SAS
United Kingdom,Women,118.376288653426,GBR,GBR,female,-0.0253135824444444,0.0188677026599574,45,-0.701371092769861,EUR
United States of America,Women,117.113952278434,CEU,CEU,female,-0.0251612744,0.0156948842288826,50,-0.669907173434741,EUR
Viet Nam,Women,120.560725140582,KHV,KHV,female,-0.0231868283018868,0.0106971675307594,53,-0.262024497314917,EAS
