Country,Sex,mean_sbp,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Men,119.771162862128,BEB,BEB,male,-0.0271610657142857,0.0132572377014848,42,-1.08302568486511,SAS
Barbados,Men,129.602786723318,ACB,ACB,male,-0.0200075379382979,0.0141636180947079,47,0.394755884232002,AFR
China,Men,125.722213289537,CHN,CHN,male,-0.0240359696478873,0.0128748227581568,142,-0.437440805180531,EAS
Colombia,Men,126.101812208412,CLM,CLM,male,-0.020648725444186,0.0177151857616429,43,0.262298849296391,AMR
Finland,Men,127.541674571889,FIN,FIN,male,-0.0235820792105263,0.0181883212864518,38,-0.3436757505493,EUR
Gambia,Men,132.231571943393,GWD,GWD,male,-0.0160830578727273,0.0137557627910391,55,1.20547815872382,AFR
India,Men,127.215020563796,IND,IND,male,-0.0274466198869565,0.0148717413866996,115,-1.14201569742482,SAS
Italy,Men,128.287395239295,TSI,TSI,male,-0.023607744509434,0.0156358047597567,53,-0.348977708810845,EUR
Japan,Men,125.752862483934,JPT,JPT,male,-0.0231859607142857,0.0142401978988397,56,-0.261845270364719,EAS
Kenya,Men,129.479274111054,LWK,LWK,male,-0.0131386625886364,0.0157666263816804,44,1.81373372426053,AFR
Mexico,Men,127.185358796841,MXL,MXL,male,-0.0181796753125,0.0135307975486048,32,0.772357227769463,AMR
Nigeria,Men,125.677698837064,YEN,YEN,male,-0.0160770490533333,0.0121268330825865,105,1.20671946550706,AFR
Pakistan,Men,128.462655835982,PJL,PJL,male,-0.0284213072291667,0.017250930853396,48,-1.34336739899859,SAS
Peru,Men,123.653288562639,PEL,PEL,male,-0.0163405072439024,0.0157967093065512,41,1.1522940588486,AMR
Puerto Rico,Men,125.636958845851,PUR,PUR,male,-0.0205885972777778,0.0173044673728265,54,0.274720174673781,AMR
Sierra Leone,Men,131.425315279589,MSL,MSL,male,-0.0216634779047619,0.0139585558176494,42,0.0526704630799304,AFR
Spain,Men,127.683814980481,IBS,IBS,male,-0.0190218587111111,0.0128954726514634,54,0.598378298318085,EUR
Sri Lanka,Men,127.433547836805,STU,STU,male,-0.0215752589636364,0.0150856031448382,55,0.0708948034785505,SAS
United Kingdom,Men,126.851194467716,GBR,GBR,male,-0.0261901016086957,0.0157968365151631,46,-0.882443132531666,EUR
United States of America,Men,123.362612524883,CEU,CEU,male,-0.0254145810204082,0.0163772683121531,49,-0.722235460496962,EUR
Viet Nam,Men,126.886537916127,KHV,KHV,male,-0.0256107184782609,0.0123348190011447,46,-0.762753695597303,EAS
