Country,Sex,mean_sbp,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Women,119.691511587616,BEB,BEB,female,-0.0124561638181818,0.0057573650129905,44,-1.57490565674272,SAS
Barbados,Women,124.706998899791,ACB,ACB,female,-0.0112636287755102,0.00472074882135444,49,-0.696383838235675,AFR
China,Women,121.085652135685,CHN,CHN,female,-0.0101786036766667,0.00434595677717201,159,0.102937094779705,EAS
Colombia,Women,119.211229833654,CLM,CLM,female,-0.01109215,0.00490247116506931,51,-0.570058120075568,AMR
Finland,Women,119.741873875939,FIN,FIN,female,-0.00845798662459016,0.00612548108774099,61,1.37048862782151,EUR
Gambia,Women,130.978679240038,GWD,GWD,female,-0.0098564409137931,0.00467167818612346,58,0.34026933757978,AFR
India,Women,124.43753364547,IND,IND,female,-0.01149867719,0.00464248431369624,90,-0.869540310075837,SAS
Italy,Women,120.353051429077,TSI,TSI,female,-0.0105838421851852,0.00529307646522602,54,-0.195595743832071,EUR
Japan,Women,117.202293523502,JPT,JPT,female,-0.010958516875,0.00456813717249335,48,-0.471612697688003,EAS
Kenya,Women,128.044040550675,LWK,LWK,female,-0.0122887827272727,0.00394463045337276,55,-1.45159863840998,AFR
Mexico,Women,122.8451866993,MXL,MXL,female,-0.0088941034375,0.00566437183585977,32,1.04920822779175,AMR
Nigeria,Women,122.768200936671,YEN,YEN,female,-0.0104134287647059,0.00427002747193064,102,-0.070054855975152,AFR
Pakistan,Women,126.819892498987,PJL,PJL,female,-0.0123440465208333,0.00552910340523517,48,-1.49231060634318,SAS
Peru,Women,115.81034401035,PEL,PEL,female,-0.00727801816363636,0.00530808525129861,44,2.23975284313191,AMR
Puerto Rico,Women,118.090026841374,PUR,PUR,female,-0.00960078396,0.00527103569239955,50,0.528607796345001,AMR
Sierra Leone,Women,130.483874226597,MSL,MSL,female,-0.0108535760697674,0.00483711058001315,43,-0.394304456211122,AFR
Spain,Women,117.410851741656,IBS,IBS,female,-0.0106818026415094,0.00538663559829722,53,-0.26776167200384,EUR
Sri Lanka,Women,123.374641268819,STU,STU,female,-0.0135396270212766,0.0054026268619497,47,-2.37307596571401,SAS
United Kingdom,Women,118.376288653426,GBR,GBR,female,-0.0097432526,0.0055076651105046,45,0.423653388956998,EUR
United States of America,Women,117.113952278434,CEU,CEU,female,-0.00931924306,0.00574280972832108,50,0.736014551368316,EUR
Viet Nam,Women,120.560725140582,KHV,KHV,female,-0.0100285243396226,0.00435252790916449,53,0.213498183034916,EAS
