Country,Sex,mean_sbp,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Men,119.771162862128,BEB,BEB,male,-0.0120941626190476,0.00548066789828779,42,-1.30822506423565,SAS
Barbados,Men,129.602786723318,ACB,ACB,male,-0.00990852872340425,0.00453095479820784,47,0.301897067093604,AFR
China,Men,125.722213289537,CHN,CHN,male,-0.0103109971619718,0.00431498601819924,142,0.00540489546738104,EAS
Colombia,Men,126.101812208412,CLM,CLM,male,-0.00984154509302326,0.00517302698025156,43,0.351242854568902,AMR
Finland,Men,127.541674571889,FIN,FIN,male,-0.00752342694736842,0.00498045068972229,38,2.05896405014274,EUR
Gambia,Men,132.231571943393,GWD,GWD,male,-0.0117891449090909,0.00394655454572573,55,-1.083523312388,AFR
India,Men,127.215020563796,IND,IND,male,-0.0116112036173913,0.00518247057797307,115,-0.952436760146135,SAS
Italy,Men,128.287395239295,TSI,TSI,male,-0.0102951219056604,0.0052060979760082,53,0.017099947222639,EUR
Japan,Men,125.752862483934,JPT,JPT,male,-0.01013729175,0.00405241574342397,56,0.133370941704591,EAS
Kenya,Men,129.479274111054,LWK,LWK,male,-0.0111923740909091,0.00434091301788017,44,-0.643891632260179,AFR
Mexico,Men,127.185358796841,MXL,MXL,male,-0.0081901140625,0.00450267473996316,32,1.56782613318184,AMR
Nigeria,Men,125.677698837064,YEN,YEN,male,-0.0107505447619048,0.00420500557356763,105,-0.318402911428085,AFR
Pakistan,Men,128.462655835982,PJL,PJL,male,-0.01103445375,0.00470180907948077,48,-0.527554199723271,SAS
Peru,Men,123.653288562639,PEL,PEL,male,-0.00874128219512195,0.00550215708005347,41,1.16178923460199,AMR
Puerto Rico,Men,125.636958845851,PUR,PUR,male,-0.0107629913888889,0.00590370295917839,54,-0.327572145858192,AMR
Sierra Leone,Men,131.425315279589,MSL,MSL,male,-0.0111309035952381,0.00465966829472974,42,-0.598607284455665,AFR
Spain,Men,127.683814980481,IBS,IBS,male,-0.00859617111111111,0.0053717835443574,54,1.26869028895184,EUR
Sri Lanka,Men,127.433547836805,STU,STU,male,-0.0118705829090909,0.00518822060049125,55,-1.1435174067295,SAS
United Kingdom,Men,126.851194467716,GBR,GBR,male,-0.00995344563043478,0.00644429715680711,46,0.268807487807306,EUR
United States of America,Men,123.362612524883,CEU,CEU,male,-0.00927102632653061,0.00664930073024591,49,0.771535060916696,EUR
Viet Nam,Men,126.886537916127,KHV,KHV,male,-0.00991793782608696,0.00337861975969012,46,0.294965529064492,EAS
