Country,Sex,mean_height,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Girls,151.85274125,BEB,BEB,female,5.7208494522727e-4,0.00167518052766497,44,0.0558995619843518,SAS
Barbados,Girls,164.93861685000002,ACB,ACB,female,0.00133898860204082,0.00157697271386613,49,0.822311365377902,AFR
China,Girls,161.18655189999998,CHN,CHN,female,-4.0250960943396e-4,0.00147787575865493,159,-0.918069936764634,EAS
Colombia,Girls,157.05669075,CLM,CLM,female,-3.3257954352941e-4,0.00194590541302418,51,-0.848184720485939,AMR
Finland,Girls,166.011032,FIN,FIN,female,-1.63257983606557e-5,0.00238287914949057,61,-0.532133804557551,EUR
Gambia,Girls,161.3217846,GWD,GWD,female,0.0021266772,0.00165860399102487,58,1.6094947795016,AFR
India,Girls,153.98817225,IND,IND,female,0.00117165543111111,0.00190526716414351,90,0.65508551352494,SAS
Italy,Girls,161.07586129999999,TSI,TSI,female,1.501845037037e-4,0.00234866260915728,54,-0.365730293823246,EUR
Japan,Girls,157.9592694,JPT,JPT,female,-8.6594903541666e-4,0.00115695560373336,48,-1.3812121360167,EAS
Kenya,Girls,158.96602560000002,LWK,LWK,female,0.00209499211090909,0.00138629284940756,55,1.57783001163265,AFR
Mexico,Girls,156.76709075,MXL,MXL,female,-2.19516875e-4,0.00166274671335082,32,-0.735194564663561,AMR
Nigeria,Girls,157.59757075,YEN,YEN,female,0.00198468168627451,0.00139199317273139,102,1.46759033455435,AFR
Pakistan,Girls,154.3353973,PJL,PJL,female,5.8555033541666e-4,0.00171615230051004,48,0.0693563161499671,SAS
Peru,Girls,153.37012779999998,PEL,PEL,female,-2.7255448863636e-4,0.00182409245462385,44,-0.788198162643038,AMR
Puerto Rico,Girls,162.58090915,PUR,PUR,female,-7.4855034e-5,0.00205851220648071,50,-0.590625502489958,AMR
Sierra Leone,Girls,156.70699875,MSL,MSL,female,0.00199219895813953,0.00115312043021205,43,1.47510278521942,AFR
Spain,Girls,162.04817375,IBS,IBS,female,-3.4498943226415e-4,0.00233842880647738,53,-0.860586650142427,EUR
Sri Lanka,Girls,154.92564275,STU,STU,female,4.1381267063829e-4,0.00144572840690338,47,-0.102271204730909,SAS
United Kingdom,Girls,163.6932351,GBR,GBR,female,3.13130244444444e-5,0.00242998296011193,45,-0.48452553489653,EUR
United States of America,Girls,162.7319589,CEU,CEU,female,6.01390986e-4,0.00214619808246246,50,0.0851868073370124,EUR
Viet Nam,Girls,156.2162161,KHV,KHV,female,-9.6096015094339e-4,0.00150757533497303,53,-1.47616231619426,EAS
