Country,Sex,mean_height,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Boys,163.4994198,BEB,BEB,male,6.4280921904761e-4,0.00180191908430161,42,0.126578476813844,SAS
Barbados,Boys,175.99646585,ACB,ACB,male,0.00193662168510638,0.00152881573851139,47,1.41956115665291,AFR
China,Boys,173.19212794999999,CHN,CHN,male,-6.1097979859154e-4,0.00139932747183683,142,-1.12640642363173,EAS
Colombia,Boys,170.3094618,CLM,CLM,male,-6.8985812558139e-4,0.00178456023169619,43,-1.20523416203127,AMR
Finland,Boys,179.58679625000002,FIN,FIN,male,3.76460289473684e-5,0.00205217034256685,38,-0.478196592064059,EUR
Gambia,Boys,167.19880419999998,GWD,GWD,male,0.00191094849090909,0.00133163411578637,55,1.39390442795067,AFR
India,Boys,164.9099453,IND,IND,male,7.0367383043478e-4,0.00169629347732612,115,0.187404052701566,SAS
Italy,Boys,173.48289465,TSI,TSI,male,-4.41216169811321e-5,0.00205344628570276,53,-0.559911796338465,EUR
Japan,Boys,171.4139738,JPT,JPT,male,-0.00106773690178571,0.00157615081406637,56,-1.58287058580088,EAS
Kenya,Boys,169.18870655,LWK,LWK,male,0.00208024843181818,0.0016005067704753,44,1.56309578839571,AFR
Mexico,Boys,169.05283925,MXL,MXL,male,-1.524353e-4,0.00161205777882202,32,-0.668156012410668,AMR
Nigeria,Boys,168.38508385,YEN,YEN,male,0.00191850681904762,0.00150312155672332,105,1.40145790855782,AFR
Pakistan,Boys,166.06096865,PJL,PJL,male,2.39515294375e-4,0.00167600037688114,48,-0.276456795426555,SAS
Peru,Boys,165.38976315000002,PEL,PEL,male,-2.7230274292682e-4,0.00173486831458208,41,-0.787946578390536,AMR
Puerto Rico,Boys,177.9055,PUR,PUR,male,1.8485036481481e-4,0.00198674119510215,54,-0.331086665651296,AMR
Sierra Leone,Boys,165.21604675,MSL,MSL,male,0.0024310903352381,0.00141188831159828,42,1.9137126794708,AFR
Spain,Boys,175.51380835,IBS,IBS,male,-3.5191598888888e-4,0.00200214776038784,54,-0.867508764422244,EUR
Sri Lanka,Boys,166.96457175,STU,STU,male,8.3828274e-4,0.00174736254951971,55,0.321926630884813,SAS
United Kingdom,Boys,177.5465547,GBR,GBR,male,2.0467680434782e-4,0.00218205885661116,46,-0.311272941799067,EUR
United States of America,Boys,176.4177552,CEU,CEU,male,5.6729395918367e-4,0.00195260435593791,49,0.0511116486381504,EUR
Viet Nam,Boys,166.468549,KHV,KHV,male,-6.2779517608695e-4,0.00135982912868745,46,-1.14321101659005,EAS
