Country,Sex,mean_height,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Girls,151.85274125,BEB,BEB,female,-0.00194702665909091,0.00116692187475701,44,-0.478934887520224,SAS
Barbados,Girls,164.93861685000002,ACB,ACB,female,-0.00193704391836735,7.8644074782549e-4,49,-0.458545968652691,AFR
China,Girls,161.18655189999998,CHN,CHN,female,-0.00239515754716981,8.487661494929e-4,159,-1.39420500943276,EAS
Colombia,Girls,157.05669075,CLM,CLM,female,-0.00163401930352941,0.00143453000337251,51,0.16035664114997,AMR
Finland,Girls,166.011032,FIN,FIN,female,-6.7623123606557e-4,0.00142590924143935,61,2.11655922524779,EUR
Gambia,Girls,161.3217846,GWD,GWD,female,-0.00186422612068966,8.4723224860624e-4,58,-0.309821664368339,AFR
India,Girls,153.98817225,IND,IND,female,-0.00134914957111111,9.045619442334e-4,90,0.742179411362103,SAS
Italy,Girls,161.07586129999999,TSI,TSI,female,-0.0017440733537037,0.00145054829749737,54,-0.0644196164113196,EUR
Japan,Girls,157.9592694,JPT,JPT,female,-0.00221068779166667,7.8672865089829e-4,48,-1.01744085391485,EAS
Kenya,Girls,158.96602560000002,LWK,LWK,female,-0.00193933525454545,6.9212558656162e-4,55,-0.463225832502446,AFR
Mexico,Girls,156.76709075,MXL,MXL,female,-0.001636935709375,0.00127859959322256,32,0.154400124416029,AMR
Nigeria,Girls,157.59757075,YEN,YEN,female,-0.00175027215686274,7.2254308700206e-4,102,-0.0770801570569547,AFR
Pakistan,Girls,154.3353973,PJL,PJL,female,-0.00160445560833333,0.00113798508616163,48,0.220738033341654,SAS
Peru,Girls,153.37012779999998,PEL,PEL,female,-0.00208192979545455,9.7200851605242e-4,44,-0.754463339922257,AMR
Puerto Rico,Girls,162.58090915,PUR,PUR,female,-0.001939600762,0.00147727455863606,50,-0.463768109428128,AMR
Sierra Leone,Girls,156.70699875,MSL,MSL,female,-0.00163762093255814,8.4622329836364e-4,43,0.153000612971821,AFR
Spain,Girls,162.04817375,IBS,IBS,female,-0.00173653344943396,0.00127360969565858,53,-0.0490199881246835,EUR
Sri Lanka,Girls,154.92564275,STU,STU,female,-0.00193566374468085,0.00104787529110358,47,-0.45572707852058,SAS
United Kingdom,Girls,163.6932351,GBR,GBR,female,-8.374224e-4,0.00162085593602946,45,1.78733965973659,EUR
United States of America,Girls,162.7319589,CEU,CEU,female,-7.099443e-4,0.00140914179821016,50,2.0477030920105,EUR
Viet Nam,Girls,156.2162161,KHV,KHV,female,-0.00274551130188679,8.2465799402063e-4,53,-2.10977345678305,EAS
