Country,Sex,mean_height,pop,pop_filter,gender,PGS_mean_raw,PGS_sd_raw,n,PGS_global_z,SuperPop
Bangladesh,Boys,163.4994198,BEB,BEB,male,-0.00186722463571429,0.00103935010686716,42,-0.315945882281359,SAS
Barbados,Boys,175.99646585,ACB,ACB,male,-0.0016588055957446801,9.2374330778103e-4,47,0.109732697786274,AFR
China,Boys,173.19212794999999,CHN,CHN,male,-0.00241614709859155,9.4086103059489e-4,142,-1.43707442504261,EAS
Colombia,Boys,170.3094618,CLM,CLM,male,-0.00211633174418605,0.00107736503351234,43,-0.824726463146127,AMR
Finland,Boys,179.58679625000002,FIN,FIN,male,-6.1126926052631e-4,0.00149464168304656,38,2.24923866523549,EUR
Gambia,Boys,167.19880419999998,GWD,GWD,male,-0.0018410102,8.0654183045856e-4,55,-0.262405074427341,AFR
India,Boys,164.9099453,IND,IND,male,-0.00164723890086957,9.941155153739e-4,115,0.133356711461958,SAS
Italy,Boys,173.48289465,TSI,TSI,male,-0.00112356943018868,0.00130074536747301,53,1.20290811490724,EUR
Japan,Boys,171.4139738,JPT,JPT,male,-0.00224897495142857,8.1953562708218e-4,56,-1.09563919800398,EAS
Kenya,Boys,169.18870655,LWK,LWK,male,-0.00228070465909091,7.8906064824506e-4,44,-1.16044449077203,AFR
Mexico,Boys,169.05283925,MXL,MXL,male,-0.0016937575,0.00120790538065059,32,0.0383463360784669,AMR
Nigeria,Boys,168.38508385,YEN,YEN,male,-0.00171409425714286,7.5635862039404e-4,105,-0.00318980143091884,AFR
Pakistan,Boys,166.06096865,PJL,PJL,male,-0.00162201026875,0.00115713938848509,48,0.184884097344127,SAS
Peru,Boys,165.38976315000002,PEL,PEL,male,-0.00169754041463415,0.00106852214028613,41,0.030620047106905902,AMR
Puerto Rico,Boys,177.9055,PUR,PUR,male,-0.00144093578518519,0.00138651912216053,54,0.554713691903201,AMR
Sierra Leone,Boys,165.21604675,MSL,MSL,male,-0.00176436331666667,7.3154780324483e-4,42,-0.105860180694499,AFR
Spain,Boys,175.51380835,IBS,IBS,male,-0.00180673948518519,0.0011273130163364,54,-0.192409985579409,EUR
Sri Lanka,Boys,166.96457175,STU,STU,male,-0.00174239907636364,0.00107386445743745,55,-0.0610000439919126,SAS
United Kingdom,Boys,177.5465547,GBR,GBR,male,-8.1878378260869e-4,0.00138548471250587,46,1.82540748783287,EUR
United States of America,Boys,176.4177552,CEU,CEU,male,-8.2971411020408e-4,0.00109085744705999,49,1.80308320147613,EUR
Viet Nam,Boys,166.468549,KHV,KHV,male,-0.00243179130434783,6.2389761471506e-4,46,-1.46902641605835,EAS
